municipality_code,year,population
01471,2000,2464
01471,2005,2106
01471,2010,1907
01472,2010,1710
01481,2000,6167
01481,2005,5708
01481,2010,5078
01482,2000,4566
01482,2005,4272
01482,2010,3717
01483,2000,4645
01483,2005,4202
01483,2010,3656
01484,2000,9364
01484,2005,8740
01484,2010,7964
01485,2000,1764
01485,2005,1511
01485,2010,1369
01486,2000,3683
01486,2005,3421
01486,2010,3084
01487,2000,4542
01487,2005,4030
01487,2010,3780
01511,2000,2980
01511,2005,2940
01511,2010,2825
01512,2000,4957
01512,2005,4582
01512,2010,4168
01513,2000,2518
01513,2005,2289
01513,2010,1974
01514,2000,7973
01514,2005,7534
01514,2010,9125
01516,2000,5220
01516,2005,4850
01516,2010,4378
01517,2000,3856
01517,2005,3410
01517,2010,3078
01518,2000,3417
01518,2005,2951
01518,2010,2590
01519,2000,3536
01519,2005,3239
01519,2010,3037
01520,2010,2677
01543,2000,23905
01543,2005,22819
01543,2010,21575
01544,2000,6789
01544,2005,6222
01544,2010,5646
01545,2000,14066
01545,2005,13431
01545,2010,13045
01546,2000,5437
01546,2005,5025
01546,2010,4551
01547,2000,6126
01547,2005,5753
01547,2010,5358
01549,2000,6317
01549,2005,5981
01549,2010,5435
01550,2000,4110
01550,2005,3699
01550,2010,3428
01552,2000,6666
01552,2005,6393
01552,2010,5892
01555,2000,18503
01555,2005,23648
01555,2010,22265
01559,2000,5260
01559,2005,4917
01559,2010,10041
01560,2000,3799
01560,2005,3366
01560,2010,3028
01561,2000,4965
01561,2005,4589
01561,2010,4301
01562,2000,1314
01562,2005,1224
01562,2010,1135
01563,2000,5778
01563,2005,5507
01563,2010,4939
01564,2010,7933
01571,2000,5286
01571,2005,4771
01571,2010,4528
01575,2000,3748
01575,2005,3473
01575,2010,3232
01578,2000,21662
01578,2005,20748
01578,2010,19376
01581,2000,5438
01581,2005,5240
01581,2010,4890
01584,2010,10132
01585,2010,8726
01586,2010,9746
01601,2000,2306
01601,2005,2095
01601,2010,13615
01602,2000,6503
01602,2005,6173
01602,2010,5596
01604,2000,6204
01604,2005,6034
01604,2010,5775
01607,2000,16634
01607,2005,15698
01607,2010,14389
01608,2000,6210
01608,2005,5711
01608,2010,5114
01609,2000,6248
01609,2005,5796
01609,2010,5413
01610,2010,25419
01631,2000,39201
01631,2005,42452
01631,2010,45085
01632,2000,6839
01632,2005,6755
01632,2010,6416
01633,2000,5634
01633,2005,5229
01633,2010,5080
01634,2000,5910
01634,2005,5876
01634,2010,5702
01635,2000,7657
01635,2005,7243
01635,2010,6653
01636,2000,10988
01636,2005,10464
01636,2010,9961
01637,2000,17586
01637,2005,18300
01637,2010,18905
01638,2000,4116
01638,2005,3983
01638,2010,4006
01639,2000,3291
01639,2005,3326
01639,2010,3391
01641,2000,6711
01641,2005,6407
01641,2010,5977
01642,2000,8975
01642,2005,8325
01642,2010,7881
01643,2000,24276
01643,2005,25083
01643,2010,26547
01644,2000,8710
01644,2005,8193
01644,2010,7527
01645,2000,4164
01645,2005,3732
01645,2010,3394
01646,2000,10021
01646,2005,9072
01646,2010,8275
01647,2000,8871
01647,2005,8317
01647,2010,7630
01648,2000,3228
01648,2005,2956
01648,2010,2650
01649,2000,6846
01649,2005,6068
01649,2010,5460
01661,2000,22478
01661,2005,21855
01661,2010,20526
01662,2000,12307
01662,2005,11525
01662,2010,10630
01663,2000,7335
01663,2005,7005
01663,2010,6511
01664,2000,9388
01664,2005,8936
01664,2010,8285
01665,2000,9493
01665,2005,9023
01665,2010,8278
01667,2000,2728
01667,2005,2672
01667,2010,2627
01668,2000,11359
01668,2005,10397
01668,2010,9294
01691,2000,16910
01691,2005,16460
01691,2010,15855
01692,2000,23179
01692,2005,23792
01692,2010,23982
01693,2000,6298
01693,2005,6063
01693,2010,5646
01694,2000,6956
01694,2005,6540
01694,2010,5885
02000,2000,1475728
02000,2005,1436657
02000,2010,1373339
02201,2000,297859
02201,2005,311508
02201,2010,299520
02202,2000,177086
02202,2005,173221
02202,2010,183473
02203,2000,241920
02203,2005,244700
02203,2010,237615
02204,2000,39059
02204,2005,38455
02204,2010,36132
02205,2000,49193
02205,2005,62181
02205,2010,58421
02206,2000,63363
