municipality_code,households_total,population_2015,births_annual
02408,5871,17955,72
02409,2279,7005,
02410,5975,15222,
02411,5194,10536,69
02412,9258,24222,191
02420,,15958,
02421,1469,3906,
02422,2625,6844,
02423,2090,5227,26
02424,2559,6607,21
02425,750,1976,1
02426,826,2148,10
02427,608,1523,
02440,,67968,
02441,3566,10135,39
02442,6059,17433,50
02443,1918,5554,19
02444,2468,7360,
02445,6263,18312,57
02446,5862,14025,48
02447,2104,6090,
02448,1736,5331,
02449,894,2873,
02450,788,2509,2
03000,492436,1279594,5432
03201,131110,297631,1596
03202,21289,56676,215
03203,14124,38058,126
03204,22318,56995,
03205,34724,97702,405
03206,38915,93511,499
03207,14122,35642,137
03208,9622,28062,93
03209,42232,121583,451
03210,7142,19758,61
03211,14725,36802,119
03212,9852,28864,
03213,10555,27611,99
03214,9152,26355,56
03215,42371,119422,458
03216,21709,55463,321
03300,,37017,
03301,5412,16981,44
03302,2349,6344,11
03303,4773,13692,39
03304,5536,15862,
03305,21709,55463,
03306,1980,5850,
03307,4100,12151,
03320,,60292,
03321,11368,32614,186
03322,10986,27678,143
03341,1667,5331,
03342,4457,14383,
03360,,5880,
03361,2740,8754,
03363,1051,2936,
03365,938,2944,
03366,1989,5880,7
03380,,15895,
03381,5923,15895,83
03382,4336,13788,
03383,4676,15547,
03384,1189,4228,
03400,,7868,
03401,4166,13222,
03402,2409,7868,25
03421,4506,13977,
03422,2483,8235,
03423,3737,11653,
03424,2069,6816,
03425,1577,5173,
03426,1129,3677,
03440,,5720,
03441,1981,5720,14
03442,1986,6296,
03460,,11759,
03461,4527,11759,36
03462,1349,4409,
03480,,31928,
03481,1036,3172,
03482,5642,15826,60
03483,3957,9841,20
03484,1233,3466,10
03485,1027,2795,9
03486,939,2852,
03487,952,2601,
03500,,36040,
03501,3274,9333,20
03502,4023,11434,
03503,1503,4149,16
03504,873,2525,
03505,1770,5259,
03506,1924,5865,8
03507,5793,16693,37
03520,,12919,
03521,1330,4066,
03523,1636,4643,
03524,4574,12919,28
04000,982523,2333899,12328
04100,525455,1082159,
04101,163122,310183,1655
04102,95772,194825,1263
04103,68527,133498,968
04104,105061,226855,1631
04105,92973,216798,1100
04202,56768,147214,610
04203,21193,54187,244
04204,31219,78437,
04205,24520,64988,201
04206,12518,35272,91
04207,29739,76668,549
04208,10276,30180,100
04209,26347,62096,447
04211,17251,44678,243
04212,25697,81959,317
04213,22697,69906,212
04214,14476,39503,224
04215,48893,133391,626
04216,18401,,313
04300,,13777,
04301,3924,12316,28
04302,524,1461,3
04320,,83991,
04321,9524,23798,116
04322,3770,11501,38
04323,15546,39525,182
04324,2967,9167,24
04340,,13972,
04341,4426,13972,26
04360,,45904,
04361,12181,33589,152
04362,4541,12315,44
04400,,68908,
04401,5017,14421,47
04404,6462,18652,75
04406,12538,35835,218
04420,,93908,
04421,11441,28244,196
