municipality_code,households_total,population_2015,births_annual
14217,16285,43306,135
14218,34879,84460,447
14300,,32096,
14301,12932,32096,133
14320,,47936,
14321,19862,47936,293
14340,,59928,
14341,12706,31550,134
14342,11552,28378,99
14360,,65620,
14361,3436,9679,23
14362,6683,17033,115
14363,4572,11171,47
14364,3936,10724,28
14366,6936,17013,134
14380,,44145,
14382,6360,11786,26
14383,2963,7333,13
14384,10696,25026,60
14400,,43557,
14401,17099,40343,142
14402,1127,3214,5
14421,9581,23366,
14422,10109,25569,
14423,3349,8582,
14424,3230,9359,
15000,864750,2304264,10916
15100,331272,810157,
15101,27418,76328,350
15102,57491,137577,795
15103,90860,183767,1098
15104,24891,68906,450
15105,28003,76843,393
15106,14922,45685,203
15107,69006,162833,906
15108,18681,58218,234
15201,224057,505513,
15202,104489,275133,1432
15204,34000,99192,415
15205,33904,86833,319
15206,35191,98611,492
15207,24813,67478,
15208,12113,36498,145
15209,9396,27852,84
15210,18012,54917,190
15211,14136,40608,219
15212,21549,62442,195
15213,28522,79784,427
15215,6074,18761,
15216,16442,44162,132
15217,11306,33199,126
15218,17021,51404,196
15219,4880,13107,
15220,12505,37581,
15221,17626,48999,
15222,72850,196987,954
15223,13484,43415,194
15224,21261,57255,186
15225,12703,37352,140
15226,19576,58568,274
15227,10305,30198,96
15300,,14040,
15301,2900,9644,
15302,2100,7102,
15303,6255,19009,
15304,2229,7660,
15306,2698,8916,
15307,4804,14040,110
15308,1839,6119,
15309,2059,7114,
15310,8812,24856,
15311,1493,5342,
15321,3190,9365,
15322,5464,17147,
15323,4108,11914,
15324,13728,35545,
15340,,8209,
15341,2769,8873,
15342,2605,8209,17
15343,4486,13782,
15344,8386,23671,
15345,9355,27254,
15346,3590,11323,
15347,10016,26980,
15348,1299,4499,
15349,1485,5579,
15350,1118,3605,
15351,1613,5649,
15360,,12188,
15361,3990,12188,33
15362,2594,9464,
15363,2972,10893,
15364,3458,11525,
15380,,11680,
15381,1496,3987,
15382,702,1946,
15383,816,2492,
15384,1047,3255,
15385,4061,11680,18
15400,,4528,
15401,4332,13822,
15402,2187,7100,
15403,2072,6454,
15404,1213,4107,
15405,1535,4528,9
15406,2885,9701,
15421,358,1002,
15441,1336,4477,
15442,2473,7941,
15443,4123,11166,
15444,2165,5858,
15445,2312,7515,
15446,1167,3515,
15447,463,1357,
15460,,8046,
15461,3583,8046,29
15462,5743,17931,
15463,9028,26359,
15464,4805,14278,
15480,,10029,
15481,1997,6581,
15482,3119,10029,23
15483,1518,5199,
15500,,4775,
15501,531,1504,
15502,1743,5468,
15504,1595,4775,16
15505,1853,5521,
15521,863,2491,
15522,1051,3466,
15523,1145,3224,
15524,725,2173,
15525,513,1613,
15526,643,2001,
15541,3196,9837,
15542,3295,9475,
15543,3221,9267,
15544,1279,4234,
15545,1642,4765,
15546,1237,3867,
15547,1243,3810,
15548,2026,6831,
15549,820,2780,
15550,1686,5625,
15561,805,2609,
15562,2888,8542,
15563,3055,8332,
15580,,6202,
15581,1756,5832,15
15582,3564,10231,
15583,2621,8782,
15584,2814,9617,
15585,1985,5803,
15586,170,370,1
15601,2532,6789,
15602,3777,8788,
15603,2590,6565,
15604,1348,3762,
15605,1577,4388,
15606,1680,5052,
15607,1063,2964,
15608,1064,3403,
15609,750,2437,
16000,403989,1066328,5512
16201,171917,418686,2460
16202,65586,172125,857
16203,11828,33251,
16204,15800,42935,186
16205,15759,47992,151
16206,12115,32755,193
16207,15238,40991,229
16208,17147,49000,267
16209,9726,30399,163
16210,16483,51327,186
16211,33812,92308,491
16301,7683,21582,
16302,3416,10300,
16320,,50229,
16321,1051,2982,32
16322,7256,20930,66
16323,9047,26317,130
16340,,37581,
16341,1887,5311,
16342,8699,25335,62
16343,4353,12246,39
16361,6591,19824,
16362,14709,40778,
16363,400,1612,
16364,427,1342,
16381,13432,33625,
16382,4147,12718,
16383,579,1861,
16384,3826,10853,
16401,2771,8592,
16402,305,980,
16403,193,639,
16404,232,537,
16405,1924,6047,
16406,2745,8541,
16407,326,1181,
16408,4332,13658,
16421,5579,17199,
16422,4325,12811,
17000,469910,1154008,6757
17201,207520,465699,2829
17202,20328,55325,215
17203,41312,106919,702
17204,10208,27216,70
17205,5517,14625,29
17206,25261,67186,274
17207,8046,21729,95
17208,26566,69276,
17209,12528,34219,299
17210,40958,109287,742
17211,18192,48881,351
17212,26200,55099,509
17301,2902,7773,
17320,,6347,
17321,5765,15871,
17322,6135,17158,
17323,6292,15852,
17324,1915,6347,37
17342,4423,12424,
17343,8012,21819,
17344,26200,55099,
17345,355,961,
17346,367,1057,
17347,770,2508,
17348,185,418,
17349,280,824,
17360,,63955,
17361,13399,36968,262
17362,3512,10083,
17363,4528,11756,
17364,4488,12380,
17365,10802,26987,120
17380,,33596,
17382,2608,7076,
17383,1998,5778,
17384,7447,20422,54
17385,2430,7396,
17386,4428,13174,31
17400,,17571,
17401,1653,5024,
17402,1824,5182,
17403,1907,5820,
17404,2792,7969,
17405,862,2725,
17406,1487,4420,
17407,6103,17571,73
17421,3288,8786,
17422,2313,5739,
17423,3175,8250,
17424,1128,3477,
17441,2155,5841,
17460,,26354,
17461,3288,8786,24
17463,6458,17568,41
18000,291662,786740,4563
18201,104470,265904,1744
18202,27849,66165,358
18203,26118,69819,
18204,12082,29670,152
18205,10868,33109,110
18206,7524,24125,91
18207,23915,68284,509
18208,9933,28729,139
18209,29634,81524,478
18210,31067,90280,527
18302,1234,4097,
18320,,19883,
18321,4581,11160,
18322,7285,19883,97
18323,877,3003,
18342,377,471,
18361,7420,21057,
18362,4229,11848,
18363,5704,16881,
18364,10718,31806,
18365,9094,24596,
18366,3835,12821,
18380,,2638,
18381,3516,11705,
18382,948,2638,5
18400,,10799,
18401,1496,5306,
18402,1216,3836,
18403,554,1657,
18404,3266,10799,36
18420,,21538,
18421,2689,8973,
18422,1046,3608,
18423,6581,21538,100
18424,429,1252,
18425,1303,4415,
18426,2807,9585,
18440,,9914,
18441,2555,7812,
18442,3745,9914,47
18461,2275,7445,
18462,829,2313,
18480,,18921,
18481,4500,10596,63
18482,2336,6012,
18483,3165,8325,43
18500,,15257,
18501,4830,15257,64
19000,338853,834930,4397
19201,87019,193125,1070
19202,18337,49003,239
19203,7972,22122,
19204,14044,32002,128
19205,13001,35141,134
19206,9254,25419,61
19207,11552,30680,136
19208,26059,70828,475
19209,18893,45111,141
19210,31039,74386,560
19211,26916,69559,435
19212,9509,24805,60
19213,11152,31671,139
19214,13552,31124,151
19301,2980,7397,
19302,1650,4543,
19303,304,860,
19304,2770,8370,
19305,410,1179,
19321,11735,27395,
19322,4174,11649,
19323,3665,10321,
19324,2695,8139,
19325,1514,4297,
19326,1763,4968,
19327,153,361,
19328,1212,3338,
19340,,15673,
19341,103,241,
19342,1317,3688,
19343,3400,9038,
19344,1086,2947,
19345,1308,3465,
19346,5803,15673,47
19360,,37098,
19361,4445,11851,
19362,1193,3443,
19363,1179,3260,
19364,675,1068,2
19365,4588,12669,24
19366,2819,8067,15
19367,1106,3125,
19368,5638,15294,60
19380,,19505,
19381,16692,39447,
19382,8085,19129,
19383,5559,11434,
19384,9117,19505,180
19385,6781,16352,
19386,2685,7158,
19387,7168,19409,
19388,109,328,
19389,4705,12818,
19390,6747,18663,
19391,4645,12452,
19401,6262,15810,
19402,1675,4418,
19403,2339,5908,
19404,3739,9070,
19405,3758,8897,
19406,2132,4621,
19407,2560,5675,
19408,1494,3514,
19409,1196,3008,
19420,,48511,
19421,533,1677,
19422,613,1743,6
19423,1484,4342,17
19424,3489,8968,107
19425,1969,5208,27
19426,8744,20266,
19427,1019,2675,
19428,503,1400,
19429,1056,2921,12
19430,10653,25329,166
19440,,1289,
19441,8976,23128,
19442,339,726,3
19443,283,563,2
20000,832097,2098804,11125
20201,156975,377598,2147
20202,104934,243293,1406
20203,64296,156827,869
20204,19274,50128,210
20205,38903,101581,627
20206,20776,50140,270
20207,18839,50725,269
20208,16831,42512,203
20209,26238,68271,384
20210,12956,32759,173
20211,15799,43909,199
20212,10739,28041,104
20213,7251,21438,59
20214,23848,55912,304
20215,27997,67135,413
20216,13312,37137,
20217,39924,99368,573
20218,22023,60298,325
20219,11260,30107,152
20220,36491,95282,545
20300,,25693,
20301,5008,13698,
20302,2561,7351,
20303,1788,4713,16
20304,1257,4607,20
20305,1075,3408,12
20306,406,1005,
20307,342,774,6
20308,1361,3835,
20309,3922,11186,42
20320,,41443,
20321,8586,18994,97
20322,3055,8828,
20323,6711,15184,88
20324,2606,7265,23
20325,2192,5971,
20326,1733,4966,
20340,,10509,
20341,8172,22244,
20342,1662,4306,
20343,9527,25141,
20345,3469,9918,
20346,1227,3473,
20347,656,1860,
20349,1553,4343,21
20350,2318,6166,13
20360,,42295,
20361,7847,20236,81
20362,5610,14493,62
20363,2895,7566,38
20380,,83275,
20381,2008,5643,
20382,7258,19770,81
20383,9504,25241,148
20384,3391,9530,38
20385,6445,15063,144
20386,1614,4850,24
20387,581,1737,
20388,3279,8821,45
20400,,60619,
20402,4428,13167,76
20403,4453,13080,79
20404,1611,4962,5
20406,213,573,
20407,2152,6538,19
20408,209,550,
20409,196,484,
20410,383,970,2
20411,1160,3851,23
20412,279,575,1
20413,563,1365,4
20414,595,1702,8
20415,2036,6310,27
20416,2122,6592,51
20417,532,1023,3
20418,178,413,
20419,568,1475,
20420,,28399,
20421,2677,6470,
20422,1785,4670,9
20423,1630,4313,16
20424,910,2506,
20425,1013,2926,15
20426,889,2354,
20427,630,1636,
20428,484,1366,
20429,371,839,
20430,1477,3825,11
20431,576,1723,
20432,4680,11826,32
20440,,22218,
20441,2856,8285,
20443,1594,4629,
20444,624,1731,
20445,635,1712,
20446,971,2788,10
20447,428,1287,
20448,665,1843,8
20449,5591,15274,
20450,3012,8395,40
20451,1474,4462,26
20452,1687,4730,10
20461,11015,27524,
20462,12797,32480,
20463,271,679,
20464,876,1936,
20465,4242,12548,
20466,6631,18043,
20467,3192,8950,
20480,,31707,
20481,3543,9926,20
20482,3577,9948,43
20483,308,848,
20484,355,935,
20485,3709,8929,49
20486,1145,2904,11
20501,2165,5789,
20502,428,960,
20520,,14871,
20521,5461,14871,61
20522,6546,17372,
20540,,17735,
20541,3680,10702,57
20543,2321,7033,18
20560,,20566,
20561,4419,12429,48
20562,1567,4658,13
20563,1153,3479,15
20580,,22197,
20581,1543,4135,
20582,3031,9609,
20583,3062,8469,26
20584,2299,6569,
20585,1468,4494,
20586,1267,3499,
20587,546,1393,
20588,965,2665,6
20589,698,1917,
20590,3767,11063,45
20600,,1953,
20601,1237,4241,
20602,692,1953,7
21000,780730,2031903,10469
21201,173386,406735,2378
21202,62277,159879,973
21203,32748,89182,496
21204,42656,110441,484
21205,33438,89153,400
21206,29690,78883,349
21207,7452,20760,66
21208,14521,38730,181
21209,24842,67337,350
21210,18158,51073,164
21211,21880,55384,359
21212,21359,57827,254
21213,57129,144690,858
21214,39996,98695,505
21215,9511,27114,111
21216,22502,54354,501
21217,8196,24696,91
21218,11720,33995,156
21219,14562,42090,165
21220,11686,33585,108
21221,11600,35206,90
21300,,47372,
21301,4160,11205,
21302,10585,24622,257
21303,8595,22750,128
21304,5637,13649,
21321,4237,12967,
21322,2333,7122,
21323,5030,15117,
21340,,29029,
21341,9405,29029,77
21342,1762,5569,
21360,,34975,
21361,9580,27556,125
21362,2507,7419,12
21380,,44007,
21381,6810,19282,90
21382,3439,9973,41
21383,5013,14752,52
21384,1696,4655,
21400,,69303,
21401,7067,21503,53
21402,937,3042,
21403,7547,23453,81
21404,8395,24347,76
21405,366,932,
21406,306,867,
21407,99,239,
21408,150,350,
21420,,18169,
21421,7418,18169,148
21422,2587,7650,
21423,17733,40734,
21424,4769,13620,
21425,4433,13300,
21426,4152,11660,
21427,548,1385,
21441,6151,17336,
21442,1023,3229,
21443,2337,6549,
21461,634,1930,
21462,444,1116,
21463,1898,6023,
21464,1064,3281,
21465,567,1605,
21481,5043,13625,
21482,2148,6459,
21483,3838,11131,
21484,1076,3065,
21485,1281,4395,
21486,520,1670,
21487,656,1745,
21500,,49519,
21501,3200,8202,60
21502,1967,5564,33
21503,3702,10197,47
21504,1312,3876,6
21505,3879,11027,32
21506,2872,8392,16
21507,780,2261,10
21520,,18111,
21521,6768,18111,75
21523,512,1329,
21541,3668,9648,
21561,1582,4690,
21562,274,799,
21563,904,2815,
21564,1758,5725,
21565,2155,6529,
21566,1004,3234,
21567,1699,5058,
21568,1390,4232,
21569,1838,5489,
21570,281,786,
21571,648,1960,
21581,3440,10687,
21582,1073,3166,
21583,4542,12378,
21584,2256,6178,
21585,375,1176,
21600,,1609,
21601,1243,4251,
21602,774,2363,
21603,399,1240,
21604,580,1609,11
21605,760,2484,
21606,997,3539,
21607,523,1652,
21608,154,338,
21621,4597,14594,
21622,2352,7743,
21623,281,1017,
21624,214,680,
21625,3104,8405,
21626,1193,3254,
22000,1483472,3700305,18969
22100,297421,704989,
22101,105124,253593,1330
22102,96437,212419,1261
22103,95860,238977,1029
22130,320749,797980,
22131,108259,237443,1416
22132,52387,128555,891
22133,39828,111353,527
22134,40191,100870,629
22135,34023,93567,458
22136,35421,95900,577
22137,10640,30292,63
22201,201561,466012,
22202,248387,596716,
22203,83438,195633,827
22204,88844,219374,
22205,18440,37544,74
22206,46106,110046,538
22207,51425,130770,592
22208,30820,68345,204
22209,35395,98112,504
22210,97333,248399,1348
22211,65059,167210,849
22212,53243,139462,719
22213,43770,114602,685
22214,53974,143605,720
22215,33529,88078,515
22216,34072,85789,618
22217,6462,19155,
22218,35421,95900,
22219,9641,22916,63
22220,20717,52737,313
22221,23005,59789,279
22222,11449,31317,82
22223,11500,32578,151
22224,17759,46763,262
22225,19085,48152,185
22226,15904,45547,175
22300,,43522,
22301,5502,12624,17
22302,2936,7303,15
22304,3314,8524,27
22305,2663,6837,11
22306,3400,8234,17
22307,1086,2642,
22320,,37661,
22321,5911,14466,
22322,5242,14317,
22323,1239,2826,
22324,1432,3734,
22325,14780,37661,162
22326,7648,19349,
22327,5526,14337,
22328,2114,6119,
22329,2661,7147,
22340,,93946,
22341,12973,32118,210
22342,17482,42331,352
22344,6442,19497,78
22361,2880,8650,
22381,5630,15751,
22382,4218,11360,
22383,2798,8243,
22401,3818,11160,
22402,7401,21912,
22420,,36285,
22421,3120,9931,
22422,7658,22564,
22423,8246,22983,
22424,11265,29093,128
22425,6297,18962,
22426,1568,4869,
22427,1676,4898,
22428,963,2294,
22429,2639,7192,13
22442,3713,10795,
22444,8380,22647,
22445,5225,14336,
22446,12534,32427,
22447,6659,19615,
22460,,18528,
22461,6242,18528,55
22462,1553,4529,
22481,6872,18629,
22482,6410,17947,
22483,6899,18426,
22484,11432,29999,
22485,3574,10975,
22486,254,639,
22487,1455,3805,
22488,916,2164,
22502,4541,11625,
22503,6190,16538,
22505,5546,15036,
22521,7275,20800,
22522,4296,13236,
22523,4643,14375,
23000,3238301,7483128,48402
23100,1122103,2295638,
23101,86281,164696,934
23102,45762,78043,689
23103,79169,163579,1016
23104,74257,149098,1013
23105,74793,133206,952
23106,63159,83203,674
23107,55059,107170,818
23108,51641,105357,769
23109,33791,65895,377
23110,101148,220281,1555
23111,63885,146745,733
23112,62606,136935,777
23113,74939,172845,1337
23114,101566,241822,1886
23115,75958,164080,1086
23116,78089,162683,1085
23201,151377,374765,2124
23202,156619,381051,2502
23203,152075,380868,2130
23204,52273,129046,643
23205,49006,116908,692
23206,131000,306508,2085
23207,72220,182436,1204
23208,24258,63431,264
23209,28277,71346,454
23210,67708,149765,1312
23211,176840,422542,2536
23212,75310,184140,1325
23213,62024,167990,967
23214,30970,81100,431
23215,29453,74308,344
23216,24566,56547,341
23217,38697,98359,528
23218,22181,58194,
23219,62633,149462,798
23220,52005,136867,767
23221,16633,47133,127
23222,49077,111944,873
23223,38310,89157,760
23224,34025,84617,462
23225,31694,70501,574
23226,33977,80787,526
23227,18239,46236,306
23228,21498,47562,341
23229,29101,69127,449
23230,36460,87977,829
23231,21300,62364,283
23232,21718,63088,280
23233,28929,67327,599
23234,36117,84133,640
23235,17066,43269,253
23236,24129,61810,471
23237,34041,86898,556
23238,26304,57598,511
23300,,42858,
23302,16823,42858,258
23304,26304,57598,
23340,,15177,
23341,7955,17315,
23342,6598,15177,103
23343,19665,46793,
23344,16452,37340,
23345,3249,8493,
23346,9920,22768,
23347,7805,18751,
23360,,57080,
23361,9150,23274,159
23362,13509,33806,217
23381,13318,33542,
23401,7375,21328,
23402,4339,12893,
23420,,72472,
23421,8486,22300,
23422,9049,23773,
23423,16506,40825,
23424,13468,30990,251
23425,16104,37085,262
23426,1718,5355,
23427,1506,4397,20
23428,15348,37914,
23429,10253,28936,
23430,2251,7405,
23431,1339,4519,
23432,7875,22228,
23440,,161732,
23441,10134,27747,164
23442,19406,49230,264
23445,6533,18707,38
23446,9530,23575,77
23447,18122,42473,281
23481,7730,23231,
23482,7503,21916,
23483,3918,11676,
23500,,39549,
23501,15810,39549,299
23502,2581,8109,
23521,24129,61810,
23522,6561,19097,
23523,1213,3716,
23541,2520,7892,
23543,1457,4484,
23544,981,2692,
23560,,9655,
23561,1845,5074,11
23562,1294,3446,9
23563,437,1135,1
23564,32,83,
23565,437,1191,
23566,924,2368,
23581,3616,11029,
23582,905,2436,
23601,3048,8847,
23602,5793,16087,
23603,8272,21497,
23604,4863,13199,
23621,14082,37928,
23622,1587,5406,
23623,5631,19030,
24000,742598,1815865,9524
24201,117663,279886,1569
24202,133331,311031,1915
24203,51580,127817,617
24204,65481,163863,861
24205,56362,140303,740
24206,24469,57076,
24207,82158,196403,1188
24208,31466,78795,359
24209,8153,18009,47
24210,20617,50254,265
24211,7382,19448,54
24212,7751,17322,55
24213,18202,44389,
24214,18075,45815,243
24215,19568,50341,125
24216,36615,90581,378
24300,,6357,
24301,3804,11225,
24302,5489,15345,
24303,2208,6357,13
24320,,25344,
24321,5100,13782,
24322,3929,9082,
24323,6924,16809,
24324,9539,25344,148
24325,2122,6142,
24340,,65522,
24341,15382,40210,227
24342,4344,10719,
24343,4112,10560,82
24344,6602,14752,146
24361,2749,6822,
24381,7160,18457,
24382,3366,8427,
24383,1184,3466,
24384,3810,10508,
24402,1697,4584,
24403,5693,14743,
24404,4003,11438,
24405,7677,19483,
24406,1797,4495,
24407,6009,14866,
24421,1620,4774,
24422,1381,3704,
24440,,47021,
24441,5124,14878,69
24442,8067,22586,132
24443,3639,9557,26
24444,1526,4717,
24445,1141,3155,
24460,,45467,
24461,5404,15431,84
24462,3201,8747,
24463,8167,19858,
24464,2848,7496,
24465,2129,5292,
24466,1579,4384,
24467,1325,3231,
24468,3744,8927,
24469,500,1324,
24470,2689,8309,36
24471,3404,8939,15
24472,4977,12788,31
24481,3880,9791,
24482,703,2230,
24483,2291,6937,
24484,1696,4978,
24501,3576,9569,
24521,1634,4346,
24522,2497,6227,
24523,3992,10555,
24524,8463,21692,
24525,2982,7521,
24540,,16338,
24541,3545,8310,
24542,3269,8028,
24543,6814,16338,38
24560,,19948,
24561,3711,8741,26
24562,4724,11207,35
24563,541,1172,
24564,1754,4285,
25000,571374,1412916,9249
25201,146088,340973,2334
25202,48212,113679,699
25203,42570,118193,659
25204,31403,81312,530
25205,19192,45465,
25206,66944,137247,1039
25207,31796,79859,649
25208,26688,66749,747
25209,33641,90901,484
25210,19659,49889,342
25211,22498,54289,291
25212,18037,50025,203
25213,42899,114180,705
25214,13385,38719,189
25301,8445,21825,
25321,26688,66749,
25342,3719,11444,
25343,15940,38445,
25361,4686,11915,
25362,17812,42374,
25363,15943,40541,
25364,2554,7655,
25365,3281,10235,
25366,7497,20338,
25367,4366,12132,
25380,,34307,
25381,4382,12428,
25382,4904,14772,
25383,7932,21873,95
25384,4435,12434,43
25401,1660,5383,
25402,4352,11928,
25403,8627,23080,
25420,,20778,
25421,1408,4990,
25422,2756,8562,
25423,2617,7800,
25424,5224,12978,
25425,7841,20778,135
25440,,21816,
25441,2629,7422,42
25442,2211,7039,17
25443,2506,7355,46
25461,4062,12217,
25462,1691,5220,
25463,4192,11191,
25464,3440,10091,
25481,4080,12980,
25482,1633,4840,
25483,2466,8583,
25484,1999,6844,
25501,3148,9749,
25502,2404,7155,
25503,1084,3142,
25504,1268,4000,
25521,2087,5712,
25522,4256,12327,
25523,649,1837,
25524,4845,12929,
25525,2113,6138,
25526,4087,11082,
26000,1190527,2610353,13882
26100,729524,1475183,
26101,57187,119474,513
26102,48004,85113,299
26103,85726,168266,731
26104,60634,109341,624
26105,20562,39044,137
26106,48309,82668,420
26107,50485,99927,751
26108,97849,204262,1136
26109,131284,280655,1504
26110,64402,135471,716
26111,65082,150962,861
26201,33632,78935,483
26202,35188,83990,413
26203,13735,33821,140
26204,73595,184678,943
26205,7292,18426,53
26206,34431,89479,490
26207,30484,76869,378
26208,23525,53380,397
26209,33728,80090,608
26210,30554,72664,301
26211,31693,70835,468
26212,20138,55054,261
26213,13195,33145,131
26214,29802,72840,506
26300,,15181,
26303,6549,15181,175
26320,,15805,
26322,6322,15805,76
26340,,17229,
26343,3161,7910,32
26344,3421,9319,29
26360,,44352,
26361,2951,8529,
26362,21671,50625,
26363,5180,13686,
26364,522,1368,4
26365,1379,3956,6
26366,13530,36376,170
26367,1023,2652,7
26381,1883,5127,
26382,1423,3824,
26400,,14453,
26401,7275,16766,
26402,2647,7615,
26403,2602,7280,
26404,1850,4940,
26405,1510,4174,
26406,1105,2999,
26407,5217,14453,24
26421,1318,3424,
26422,1297,3504,
26441,1617,4426,
26460,,23944,
26461,2338,6581,
26462,2186,5721,
26463,849,2110,9
26464,3514,9532,
26465,8038,21834,86
26481,4789,12028,
26482,3888,10122,
26501,4566,12931,
26502,1934,5316,
26503,1748,5058,
26521,3213,9599,
27000,4135879,8839469,55292
27100,1469718,2691185,
27102,56944,104727,630
27103,42631,72484,695
27104,32318,66656,362
27106,63874,92430,874
27107,42612,82035,417
27108,29859,65141,278
27109,42163,75729,663
27111,53297,69766,432
27113,46266,95490,551
27114,99699,175530,1114
27115,45487,80563,500
27116,67616,130167,640
27117,45303,91608,568
27118,82712,164697,1187
27119,53649,107626,713
27120,78098,154239,970
27121,62025,126299,870
27122,66379,111883,365
27123,104193,176201,1272
27124,48884,111557,949
27125,59913,122988,548
27126,92872,196633,1075
27127,85785,123667,1161
27128,67139,93069,961
27140,366079,839310,
27141,73809,148205,966
27142,50213,124543,722
27143,36889,85189,574
27144,58120,135746,839
27145,59706,147626,509
27146,72497,158845,1262
27147,14845,39156,209
27201,351234,800154,
27202,79073,194911,1144
27203,176967,395479,2901
27204,48611,103069,641
27205,180099,374468,2947
27206,32516,75897,556
27207,152869,351829,2168
27208,33284,88694,368
27209,67860,143042,983
27210,172253,404152,2383
27211,125089,280033,2171
27212,114265,268800,1605
27213,43864,100966,619
27214,45699,113984,549
27215,101538,237518,1349
27216,42367,106987,404
27217,51902,120750,676
27218,52686,123217,704
27219,73701,186109,1022
27220,58088,133411,780
27221,30009,71112,382
27222,45008,112683,622
27223,57379,123576,615
27224,40243,85007,652
27225,23130,56529,378
27226,27814,65438,372
27227,232303,502784,2865
27228,23123,62438,336
27229,22415,56075,337
27230,29569,76435,479
27231,24216,57792,404
27232,20774,54276,204
27300,,29983,
27301,12747,29983,202
27320,,30190,
27321,7580,19934,30
27322,3645,10256,14
27340,,17298,
27341,6749,17298,88
27360,,68790,
27361,17256,44435,240
27362,3734,8417,48
27366,6273,15938,51
27380,,35252,
27381,5048,13748,63
27382,6392,16126,51
27383,1944,5378,13
27385,14845,39156,
28000,2402484,5534800,32615
28100,734920,1537272,
28101,102465,213634,1373
28102,70009,136088,816
28105,61186,106956,650
28106,49601,97912,512
28107,74352,162468,888
28108,97680,219474,1168
28109,88489,219805,1056
28110,90870,135153,928
28111,100268,245782,1106
28201,224106,535664,3492
28202,221404,452563,3267
28203,133647,293409,2730
28204,215651,487850,3323
28205,17792,44258,206
28206,42522,95350,484
28207,82481,196883,1381
28208,11806,30129,112
28209,30180,82250,389
28210,107195,267435,1588
28211,14810,39661,
28212,18911,48567,199
28213,15167,40866,177
28214,95465,224903,1161
28215,30370,77178,371
28216,36712,91030,476
28217,63331,156375,849
28218,17810,48580,276
28219,42401,112691,474
28220,16245,44313,178
28221,15605,41490,202
28222,8388,24288,102
28223,23033,64660,313
28224,17047,46912,184
28225,11399,30805,132
28226,17494,43977,172
28227,12882,37773,126
28228,17070,40310,250
28229,27757,77419,391
28300,,30838,
28301,10995,30838,74
28321,2393,7595,
28341,8998,20471,
28342,5035,12468,
28343,3037,7371,
28360,,21200,
28361,3072,9910,
28362,1864,6056,
28363,1626,5234,
28364,2213,6909,
28365,6562,21200,37
28380,,64759,
28381,11384,31020,164
28382,13792,33739,244
28421,1801,4898,
28422,6266,18548,
28440,,43490,
28441,2306,7063,
28442,4324,12300,26
28443,7795,19738,107
28444,6996,18735,
28445,1473,4389,
28446,3779,11452,44
28460,,33690,
28461,4802,14720,
28462,4396,12379,
28463,3749,10659,
28464,12757,33690,207
28480,,15224,
28481,5537,15224,61
28500,,17510,
28501,5927,17510,52
28502,1404,4099,
28503,1141,3628,
28504,912,2715,
28521,8272,23108,
28522,1805,5024,
28523,2508,8101,
28524,1151,3704,
28525,951,2860,
28541,1379,3519,
28542,1486,4496,
28543,3608,11217,
28544,5671,16609,
28561,3312,9996,
28562,1432,4255,
28580,,32889,
28581,1655,4888,
28582,3137,9222,
28583,649,1965,
28584,1792,5597,
28585,5912,18070,43
28586,4929,14819,54
28601,3526,10111,
28602,2458,7144,
28603,1222,3533,
28604,1182,3500,
28621,1410,3759,
28622,5907,15490,
28623,2028,5549,
28624,2054,6007,
28641,4052,9870,
28642,6255,17800,
28643,2053,6007,
28644,3811,10903,
28645,3819,11343,
28646,3043,8737,
28681,5992,14989,
28682,2322,5289,
28683,2821,7854,
28684,2755,7379,
28685,3322,9574,
28686,3604,8466,
28701,2019,5931,
28702,3584,9854,
28703,5453,15155,
28704,5991,15972,
29000,544981,1364316,6943
29201,155305,360310,1770
29202,26095,64817,338
29203,34216,87050,421
29204,25619,67398,369
29205,51330,124111,722
29206,22011,57244,318
29207,10897,30997,74
29208,9996,26868,66
29209,47666,118233,610
29210,29609,77561,564
29211,13288,36635,258
29212,10852,31105,78
29301,430,1455,
29320,,3674,
29321,1889,5647,
29322,1110,3674,3
29340,,77200,
29342,7173,18883,65
29343,9494,23571,125
29344,10902,27303,212
29345,3068,7443,30
29360,,47012,
29361,3206,8485,23
29362,2645,6836,38
29363,11905,31691,227
29380,,3308,
29381,2222,6616,
29382,1235,3773,
29383,5836,16228,
29384,1559,4488,
29385,593,1549,2
29386,705,1759,1
29400,,12718,
29401,2320,7195,14
29402,1786,5523,21
29420,,96507,
29421,7517,20753,
29422,5771,15882,
29424,8558,22054,99
29425,10031,23025,153
29426,11921,33487,203
29427,6792,17941,62
29440,,41568,
29441,2659,7399,10
29442,6509,18069,38
29443,2139,5664,12
29444,307,660,3
29445,841,2526,
29446,561,1354,3
29447,204,449,
29448,119,259,
29449,1410,3508,6
29450,447,895,3
29451,265,512,1
29452,625,1313,1
29453,762,1745,
30000,394483,963579,4901
30201,157666,364154,2235
30202,20088,51860,212
30203,24028,63621,285
30204,10270,28470,120
30205,10123,24801,115
30206,31215,74770,315
30207,13123,29331,120
30208,23351,62616,291
30209,21999,53452,346
30300,,9206,
30301,4083,11742,
30302,2351,6399,
30303,1123,2807,
30304,3474,9206,15
30321,6263,15608,
30322,4563,13031,
30323,2611,7091,
30324,2525,7181,
30325,7389,19705,
30326,21999,53452,
30340,,24721,
30341,6223,16992,59
30342,5126,13078,
30343,1528,4377,9
30344,1408,3352,5
30345,138,307,
30360,,45785,
30361,4599,12200,39
30362,2481,7224,22
