municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,reinfolib_loaded_at,reinfolib_source_url
29201,1800,516,245299,27.5,3381,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.6851,135.8048&z=12",2026-05-27T08:40:05.173490+00:00,https://www.reinfolib.mlit.go.jp/
32000,2100,95,266666,16.5,549,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.4723,133.0505&z=12",2026-05-27T08:40:18.859026+00:00,https://www.reinfolib.mlit.go.jp/
33000,2100,788,277350,22.0,1098,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.6618,133.9344&z=12",2026-05-27T08:40:31.863281+00:00,https://www.reinfolib.mlit.go.jp/
33100,2100,623,275000,22.5,1098,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.6618,133.9344&z=12",2026-05-27T08:40:57.559316+00:00,https://www.reinfolib.mlit.go.jp/
34000,2300,1558,307692,23.8,1685,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.3963,132.4596&z=12",2026-05-27T08:41:10.648968+00:00,https://www.reinfolib.mlit.go.jp/
34100,2500,1117,333333,24.6,1685,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.3963,132.4596&z=12",2026-05-27T08:41:53.035329+00:00,https://www.reinfolib.mlit.go.jp/
38201,1650,228,222875,24.5,624,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.8392,132.7656&z=12",2026-05-27T08:42:05.959222+00:00,https://www.reinfolib.mlit.go.jp/
40000,1800,6455,344444,25.1,1581,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.5904,130.4017&z=12",2026-05-27T08:42:19.685832+00:00,https://www.reinfolib.mlit.go.jp/
40100,1200,762,164705,27.9,1149,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.8835,130.8752&z=12",2026-05-27T08:43:05.360467+00:00,https://www.reinfolib.mlit.go.jp/
40130,2000,4871,414285,24.8,1581,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.5904,130.4017&z=12",2026-05-27T08:43:43.166148+00:00,https://www.reinfolib.mlit.go.jp/
42202,1400,53,212500,24,561,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.1798,129.7156&z=12",2026-05-27T08:43:56.088802+00:00,https://www.reinfolib.mlit.go.jp/
43000,1800,602,228717,23.6,809,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=32.7898,130.7417&z=12",2026-05-27T08:44:09.736720+00:00,https://www.reinfolib.mlit.go.jp/
43100,1800,581,230769,23.8,809,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=32.7898,130.7417&z=12",2026-05-27T08:44:39.426152+00:00,https://www.reinfolib.mlit.go.jp/
44201,1900,285,237500,23.4,601,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.2382,131.6126&z=12",2026-05-27T08:44:52.422163+00:00,https://www.reinfolib.mlit.go.jp/
46000,2400,327,316666,20.8,1156,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=31.5602,130.5581&z=12",2026-05-27T08:45:06.125626+00:00,https://www.reinfolib.mlit.go.jp/
46201,2500,285,329411,22.1,1156,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=31.5969,130.5571&z=12",2026-05-27T08:45:19.121295+00:00,https://www.reinfolib.mlit.go.jp/
