municipality_code,financial_capability_index,real_debt_service_ratio_pct,taxable_income_per_capita_yen,homeownership_rate_pct,crime_rate_per_1000,doctors_per_100k,ssds_hospital_count,unemployment_rate_pct,tertiary_industry_pct,dwelling_area_sqm,day_night_pop_ratio,school_count,nursery_children,ssds_data_year,ssds_source_url
13211,0.95,2.0,4111200,52.3,12.85,277.2,9,3.6,80.7,71.73,89.0,32,3186,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13212,0.94,-2.4,3945295,53.2,8.82,133.4,7,3.7,78.6,76.18,88.5,25,2894,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13213,0.78,2.4,3685787,61.4,12.81,222.0,12,4.0,79.7,77.01,81.8,26,2341,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13214,1.04,-0.6,4684545,50.3,12.77,109.9,2,3.7,82.0,72.11,85.3,17,2307,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13215,0.99,0.7,4806700,45.9,19.56,143.9,2,3.7,81.8,68.3,95.4,16,1422,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13218,0.74,-3.0,3324568,44.2,17.28,221.6,4,4.5,74.7,69.64,91.6,10,1314,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13219,0.86,1.4,4282638,48.2,9.2,369.2,1,3.7,82.5,64.85,74.3,10,1464,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13220,0.82,-1.5,3598876,62.3,16.85,165.7,2,4.2,77.2,79.99,80.3,15,1869,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13221,0.67,3.9,3723718,53.2,15.89,325.4,11,4.3,79.1,73.11,86.5,16,1198,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13222,0.82,-0.1,3821051,61.4,12.15,91.1,4,3.9,78.8,75.09,83.0,22,1931,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13223,0.81,0.8,3321635,62.1,14.75,180.7,4,4.2,69.9,81.36,95.4,14,1954,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13224,1.12,2.9,3951711,54.2,11.92,335.5,7,4.3,82.5,69.49,99.5,29,2573,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13225,0.94,3.1,4263455,57.5,8.42,164.2,4,3.3,79.2,75.05,80.5,19,1451,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13227,0.96,0.6,3468847,60.9,15.57,97.6,2,4.2,69.0,78.37,95.2,10,1342,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13228,0.7,6.0,3368276,77.4,9.66,150.1,4,3.8,71.3,97.05,84.9,18,1748,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
13229,0.89,2.3,4150890,53.6,13.34,152.4,6,3.9,82.8,70.97,80.9,29,2870,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
