municipality_code,year,population
01223,2025,22933
01223,2030,20681
01223,2035,18511
01223,2040,16417
01223,2045,14459
01223,2050,12638
01223,2055,11001
01223,2060,9505
01223,2065,8163
01223,2070,6946
01224,2025,99986
01224,2030,98767
01224,2035,97012
01224,2040,94839
01224,2045,92079
01224,2050,89063
01224,2055,85931
01224,2060,82432
01224,2065,78620
01224,2070,74601
01225,2025,37364
01225,2030,35087
01225,2035,32766
01225,2040,30424
01225,2045,28090
01225,2050,25856
01225,2055,23720
01225,2060,21707
01225,2065,19686
01225,2070,17740
01226,2025,14787
01226,2030,13514
01226,2035,12270
01226,2040,11088
01226,2045,9968
01226,2050,8909
01226,2055,7956
01226,2060,7081
01226,2065,6238
01226,2070,5484
01228,2025,20018
01228,2030,17938
01228,2035,15985
01228,2040,14183
01228,2045,12530
01228,2050,11035
01228,2055,9684
01228,2060,8508
01228,2065,7437
01228,2070,6408
01230,2025,42821
01230,2030,39740
01230,2035,36513
01230,2040,33280
01230,2045,30209
01230,2050,27384
01230,2055,24786
01230,2060,22383
01230,2065,20029
01230,2070,17798
01231,2025,69158
01231,2030,67868
01231,2035,66131
01231,2040,64054
01231,2045,61734
01231,2050,59301
01231,2055,56837
01231,2060,54177
01231,2065,51259
01231,2070,48168
01233,2025,892
01233,2030,781
01233,2035,689
01233,2040,608
01233,2045,530
01233,2050,460
01233,2055,413
01233,2060,373
01233,2065,337
01233,2070,306
01234,2025,58580
01234,2030,56334
01234,2035,53936
01234,2040,51282
01234,2045,48461
01234,2050,45699
01234,2055,43079
01234,2060,40496
01234,2065,37800
01234,2070,35153
01235,2025,1718
01235,2030,1526
01235,2035,1322
01235,2040,1143
01235,2045,985
01235,2050,865
01235,2055,755
01235,2060,690
01235,2065,626
01235,2070,569
01236,2025,42733
01236,2030,40050
01236,2035,37260
01236,2040,34377
01236,2045,31361
01236,2050,28293
01236,2055,25345
01236,2060,22496
01236,2065,19769
01236,2070,17238
01303,2025,11040
01303,2030,10236
01303,2035,9453
01303,2040,8698
01303,2045,7856
01303,2050,7027
01303,2055,6278
01303,2060,5513
01303,2065,4788
01303,2070,4151
01304,2025,2692
01304,2030,2498
01304,2035,2272
01304,2040,2057
01304,2045,1862
01304,2050,1655
01304,2055,1430
01304,2060,1280
01304,2065,1127
01304,2070,999
01331,2025,5475
01331,2030,4597
01331,2035,3795
01331,2040,3081
01331,2045,2474
01331,2050,1980
01331,2055,1565
01331,2060,1226
01331,2065,960
01331,2070,748
01332,2025,3238
01332,2030,2791
01332,2035,2355
01332,2040,1942
01332,2045,1590
01332,2050,1271
01332,2055,1023
01332,2060,814
01332,2065,637
01332,2070,492
01333,2025,3702
01333,2030,3317
01333,2035,2945
01333,2040,2577
01333,2045,2244
01333,2050,1929
01333,2055,1644
01333,2060,1409
01333,2065,1205
01333,2070,1014
01334,2025,3272
01334,2030,2781
01334,2035,2333
01334,2040,1930
01334,2045,1572
01334,2050,1258
01334,2055,1008
01334,2060,809
01334,2065,632
01334,2070,495
01337,2025,26770
01337,2030,25683
01337,2035,24425
01337,2040,22956
01337,2045,21364
01337,2050,19720
01337,2055,18188
01337,2060,16664
01337,2065,15127
01337,2070,13640
01343,2025,3660
01343,2030,3286
01343,2035,2908
01343,2040,2547
01343,2045,2211
01343,2050,1908
01343,2055,1636
01343,2060,1389
01343,2065,1166
01343,2070,969
01345,2025,12633
01345,2030,11218
01345,2035,9888
01345,2040,8602
01345,2045,7406
01345,2050,6333
01345,2055,5393
01345,2060,4542
01345,2065,3803
01345,2070,3143
01346,2025,15735
01346,2030,14378
01346,2035,13037
01346,2040,11707
01346,2045,10395
01346,2050,9115
01346,2055,7974
01346,2060,6918
01346,2065,5942
01346,2070,5064
01347,2025,4587
01347,2030,4081
01347,2035,3591
01347,2040,3168
01347,2045,2767
01347,2050,2400
01347,2055,2075
01347,2060,1776
01347,2065,1507
01347,2070,1268
01361,2025,6658
01361,2030,5929
01361,2035,5221
01361,2040,4572
01361,2045,3970
01361,2050,3410
01361,2055,2930
01361,2060,2482
01361,2065,2080
01361,2070,1723
01362,2025,3702
01362,2030,3194
01362,2035,2727
01362,2040,2305
01362,2045,1926
01362,2050,1588
01362,2055,1306
01362,2060,1072
01362,2065,854
01362,2070,690
01363,2025,3135
01363,2030,2759
01363,2035,2456
01363,2040,2152
01363,2045,1864
01363,2050,1603
01363,2055,1381
01363,2060,1193
01363,2065,1006
01363,2070,864
01364,2025,2916
01364,2030,2505
01364,2035,2137
01364,2040,1817
01364,2045,1524
01364,2050,1272
01364,2055,1058
01364,2060,877
01364,2065,723
01364,2070,595
01367,2025,2164
01367,2030,1892
01367,2035,1629
01367,2040,1390
01367,2045,1174
01367,2050,980
01367,2055,824
01367,2060,699
01367,2065,583
01367,2070,485
01370,2025,5421
01370,2030,4906
01370,2035,4384
01370,2040,3904
01370,2045,3470
01370,2050,3063
01370,2055,2694
01370,2060,2357
01370,2065,2044
01370,2070,1760
